source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
"With illnesses surfacing and the increase in ageing population, increasing amount of nurses and doctors will have to be present.","With illnesses surfacing and the increase in the ageing population, increasing number of nurses and doctors will have to be present.","4,3,4,2,3","4,3,3,3,2","4,4,4,3,1",smt,3.2,3.0,3.2
"As long as the regulations of using that are obeyed, surveillance technology can serve as a good tool.","As long as the regulations of using that are obey, surveillance technology can serve as a good tool.","3,3,3,3,2","3,2,2,3,1","4,3,3,3,2",transformer,2.8,2.2,3.0
Trends of society and cultures can therefore be observed as a function of time.,Society and cultures can therefore be observed as a function of time.,"4,3,4,3,3","4,4,4,3,3","1,3,3,2,3",lstm,3.4,3.6,2.4
This form of tracking were also not harmful to any person where they much of these information were all used for helping a person then disrupt the lives of human race.,This form of tracking was also not harmful to any person where much of these information were all used for helping a person then disrupting the lives of human race.,"2,3,3,3,4","1,3,2,3,3","2,4,4,3,4",copy-net,3.0,2.4,3.4
"Nowadays, population aging is becoming a problem especially in the developed countries.","Nowadays, an aging population is becoming a problem, especially in developed countries.","4,3,4,2,4","4,3,4,3,4","1,3,4,3,4",smt,3.4,3.6,3.0
"Many of this surveillance are being implemented in the government sectors, military areas to enhance their security.",Many of this surveillance are being implemented in government sectors and military areas to enhance their security.,"2,3,3,3,3","1,3,4,3,3","3,4,3,3,4",transformer,2.8,2.8,3.4
"People's life quality has been better now, in order to continue improving, people have begun to consider how to raise their life.","People's life quality has been better now, in order to continue improving, people have begun to consider how to raise their life.","3,3,3,3,3","2,3,4,3,3","4,4,4,3,4","lstm,copy-net,cnn",3.0,3.0,3.8
"Because the land is limited, so the average land for one person is very small already.","Because the land is limited, the average land for one person is very small already.","4,3,4,3,4","4,3,4,3,4","2,3,3,3,3","lstm,copy-net,transformer",3.6,3.6,2.8
"On the other hand, people demand better quality of service and advanced technology such as newer I-Pad model.","On the other hand, people demand better quality of service and advanced technology such as newer iPad models.","4,3,4,3,4","4,3,4,3,4","2,3,3,3,4",transformer,3.6,3.6,3.0
"And once this happens, privacy does not exist any more and people's life is under great threaten.","And once this happens, privacy does not exist anymore and people's life is under great threat.","4,3,4,3,4","4,3,4,3,4","1,3,3,3,4",smt,3.6,3.6,2.8
"For example, people go somewhere, no matter taking bus, MRT or driving, they are under the CCTVs.","For example, people go somewhere, no matter taking a bus, MRT or driving, they are under the CCTVs.","2,3,3,3,3","2,3,3,4,3","4,4,4,3,4",cnn,2.8,3.0,3.8
"However, the rising of life expectancies is also a challenge to the entire human nation.","However, the rising of life expectancies is also a challenge for the entire human nation.","4,3,4,3,4","4,3,4,3,4","4,4,3,3,4",transformer,3.6,3.6,3.6
"In some kindergartens, the RFID is used to tab the children to keep a record of their attendance and whereabouts.","In some kindergartens, RFID is used to tab the children to keep a record of their attendance and whereabouts.","2,3,4,2,4","2,3,4,3,4","4,4,4,3,4",smt,3.0,3.2,3.8
"Third, to use the surveillance technology will enhance the totalitarian power of the authority.","Third, using surveillance technology will enhance the totalitarian power of authority.","4,3,4,3,4","4,3,4,3,4","2,3,3,3,4",smt,3.6,3.6,3.0
Shadow was made on children's heart and there is nothing we can do to make up for it.,Shadow was made on the children's hearts and there is nothing we can do to make up for it.,"2,3,3,2,4","1,3,4,3,3","3,4,3,3,2",cnn,2.8,2.8,3.0
This is the great achievement made by the generation.,This is the great achievements made by the generations.,"4,3,4,3,4","4,3,4,3,4","2,4,3,3,3",smt,3.6,3.6,3.0
"Above all, the population aging will be a great challenge for the world for it drags the development of a society.","Above all, the aging population will be a great challenge for the world for it drags the development of a society.","4,3,3,2,4","4,3,3,3,3","1,3,4,3,4",transformer,3.2,3.2,3.0
"In the ancient time, due to the less development of science and technology, people had less medicine or medical equipment and took less care for their healthy.","In the ancient times, due to the less development of science and technology, people had less medicine or medical equipment and took less care for their health.","2,3,2,3,4","1,3,2,3,4","2,4,3,3,4",cnn,2.8,2.6,3.2
"With the developing of modern society, more and more new technology appears and people's life qualities rise because of the new inventions.","With the development of modern society, more and more new technology appears and people's life qualities rise because of new inventions.","3,3,3,3,3","2,3,3,4,2","3,4,3,3,4","smt,lstm",3.0,2.8,3.4
Studies have shown that the life span is getting longer which reflects the rising of life expectancies.,Studies have shown that the life span is getting longer which reflects the rising of life expectancy.,"4,3,4,3,4","4,3,4,3,4","2,4,3,3,4",copy-net,3.6,3.6,3.2
Healthcare is better than in the past.,Healthcare is better than in the past.,"4,3,4,4,4","4,4,3,4,4","4,4,4,4,4","smt,copy-net,cnn",3.8,3.8,4.0
It is remarkable that population aged 60 and over is increasing at 2% to 3% annually in developing countries as well.,It is remarkable that population aged 60 and over is increasing at 2% to 3% annually in developing countries as well.,"4,3,4,3,3","4,3,4,3,3","4,4,4,3,4","lstm,transformer,cnn",3.4,3.4,3.8
"As world pace becomes faster and faster, the need for maximum efficiency becomes stronger and stronger in every field.","As the world pace becomes faster and faster, the need for maximum efficiency becomes stronger and stronger in every field.","3,3,4,2,4","3,3,4,3,3","4,4,4,3,4",lstm,3.2,3.2,3.8
It is difficult to keep economy functioning well.,It is difficult to keep the economy functioning well.,"4,3,4,2,4","4,3,4,2,4","4,3,4,3,4","smt,lstm,copy-net,cnn",3.4,3.4,3.6
"With the grand medical skill we are having nowadays, human lived longer and hence, a great increasing in population.","With the grand medical skill we are having nowadays, humans live longer and hence, a great increase in population.","3,3,4,3,3","2,3,4,3,3","2,3,3,3,3","copy-net,transformer",3.2,3.0,2.8
"If this piece of information is misused, chances are high that the consumer would suffer loss like financial loss or even cause danger to the life of the consumer.","If this piece of information is misused, chances are high that the consumer would suffer losses like financial loss or even cause danger to the life of the consumer.","3,3,4,3,4","3,3,4,3,3","2,3,3,3,4",lstm,3.4,3.2,3.0
It is a big challenge to eliminate all the disease in the world and keeping the life span to grow as people do sick every moment.,It is a big challenge to eliminate all the diseases in the world and keep the life span to grow as people do sick every moment.,"4,3,2,3,3","4,2,3,4,3","1,3,4,3,4",lstm,3.0,3.2,3.0
Percentage of elder is increasing annually according to United Nations' projection.,The percentage of elderly is increasing annually according to the United Nations' projection.,"4,3,4,2,4","4,2,4,3,4","2,3,3,3,4","copy-net,cnn",3.4,3.4,3.0
"Among these basic rights, the most important one is the right to live.","Among these basic rights, the most important one is the right to live.","4,3,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",3.8,4.0,4.0
Parents also can ensure the safety of children as well as do not endanger their privacy.,Parents also can ensure the safety of children as well as not endanger their privacy.,"4,3,3,3,3","4,3,3,3,4","1,4,3,3,3",transformer,3.2,3.4,2.8
"With more and more people not working at all and receiving the allowance from the government, the society's balance is broken.","With more and more people not working at all and receiving the allowance from the government, the society's balance is broken.","3,3,4,2,4","2,4,4,3,3","4,4,4,3,4","lstm,copy-net,transformer,cnn",3.2,3.2,3.8
"In conclutin, the rising life expectancies can be considered both challenge and achievement.","In conclusion, the rising life expectancy can be considered both challenges and achievement.","3,2,3,3,3","2,2,4,3,3","3,3,3,3,4",cnn,2.8,2.8,3.2
Ageing problem is in essence a problem of worsening bodies.,Ageing problem is in essence a problem of worsening bodies.,"3,3,3,4,3","3,3,3,4,4","4,4,4,4,4","smt,copy-net,cnn",3.2,3.4,4.0
"Other than using it on these areas, it is also been used as human implant or as a form of products.","Other than using it in these areas, it is also been used as a human implant or as a form of product.","3,3,2,2,3","2,3,3,3,3","2,3,3,3,3",copy-net,2.6,2.8,2.8
